Country Name,Country ISO Code,Indicator Name,1998.000,2000.000,2002.000,2004.000,2006.000,2008.000,2010.000,2012.000,2014.000,2016.000,2018.000,2020.000
Aruba,ABW,Pump price for gasoline (US$ per liter),0.540,0.540,0.540,0.730,0.890,1.280,1.020,1.400,1.230,1.120,1.260,1.245
Africa Eastern and Southern,AFE,Pump price for gasoline (US$ per liter),0.450,0.560,0.520,0.880,1.040,1.215,1.285,1.470,1.375,0.950,1.210,1.293
Afghanistan,AFG,Pump price for gasoline (US$ per liter),0.190,0.270,0.340,0.530,0.680,1.050,1.150,1.280,1.070,0.700,0.990,1.030
Africa Western and Central,AFW,Pump price for gasoline (US$ per liter),0.680,0.640,0.685,0.885,1.030,1.085,1.190,1.170,1.245,0.950,1.060,1.153
Angola,AGO,Pump price for gasoline (US$ per liter),0.380,0.300,0.190,0.390,0.500,0.530,0.650,0.630,0.760,0.970,0.800,0.780
Albania,ALB,Pump price for gasoline (US$ per liter),0.860,0.570,0.800,1.230,1.440,1.360,1.460,1.810,1.760,1.360,1.585,1.673
Andorra,AND,Pump price for gasoline (US$ per liter),,,,,,1.240,1.490,1.670,1.510,,0.835,1.173
Arab World,ARB,Pump price for gasoline (US$ per liter),0.310,0.280,0.295,0.320,0.370,0.490,0.550,0.580,0.825,0.670,0.625,0.725
United Arab Emirates,ARE,Pump price for gasoline (US$ per liter),0.230,0.250,0.290,0.280,0.370,0.450,0.470,0.470,0.470,0.490,0.480,0.475
Argentina,ARG,Pump price for gasoline (US$ per liter),0.940,1.070,0.630,0.630,0.620,0.780,0.960,1.460,1.520,1.100,1.280,1.400
Armenia,ARM,Pump price for gasoline (US$ per liter),0.490,0.550,0.420,0.680,0.960,1.080,1.080,1.250,1.300,0.770,1.010,1.155
Australia,AUS,Pump price for gasoline (US$ per liter),0.460,0.570,0.500,0.850,0.930,0.740,1.270,1.390,1.230,0.930,1.160,1.195
Austria,AUT,Pump price for gasoline (US$ per liter),1.040,0.820,0.840,1.320,1.320,1.370,1.630,1.810,1.600,1.200,1.505,1.553
Azerbaijan,AZE,Pump price for gasoline (US$ per liter),0.460,0.390,0.370,0.410,0.460,0.740,0.750,0.760,1.210,0.560,0.660,0.935
Burundi,BDI,Pump price for gasoline (US$ per liter),0.720,1.010,0.580,1.040,1.200,1.390,1.430,1.470,1.530,1.210,1.340,1.435
Belgium,BEL,Pump price for gasoline (US$ per liter),1.120,0.960,1.040,1.500,1.630,1.500,1.870,2.090,1.900,1.430,1.760,1.830
Benin,BEN,Pump price for gasoline (US$ per liter),0.390,0.480,0.540,0.770,0.810,1.030,1.040,1.240,1.030,0.720,0.980,1.005
Burkina Faso,BFA,Pump price for gasoline (US$ per liter),0.680,0.680,0.830,1.180,1.150,1.380,1.440,1.430,1.400,0.980,1.205,1.303
Bangladesh,BGD,Pump price for gasoline (US$ per liter),0.470,0.460,0.520,0.590,0.790,1.170,1.090,1.150,1.300,1.120,1.135,1.218
Bulgaria,BGR,Pump price for gasoline (US$ per liter),0.660,0.700,0.680,0.920,1.050,1.280,1.510,1.690,1.490,1.110,1.400,1.445
Bahrain,BHR,Pump price for gasoline (US$ per liter),0.260,0.270,0.270,0.270,0.210,0.210,0.210,0.270,,0.430,0.350,0.175
"Bahamas, The",BHS,Pump price for gasoline (US$ per liter),,,,,,,,,1.050,0.920,0.460,0.755
Bosnia and Herzegovina,BIH,Pump price for gasoline (US$ per liter),0.660,0.680,0.740,0.970,1.340,1.130,1.420,1.590,1.510,1.050,1.320,1.415
Belarus,BLR,Pump price for gasoline (US$ per liter),0.340,0.550,0.500,0.620,0.790,1.330,1.080,0.880,1.060,0.600,0.740,0.900
Belize,BLZ,Pump price for gasoline (US$ per liter),,,,1.200,1.270,0.700,1.130,1.440,1.370,1.130,1.285,1.328
Bolivia,BOL,Pump price for gasoline (US$ per liter),0.530,0.800,0.690,0.540,0.540,0.680,0.700,0.700,0.700,0.710,0.705,0.703
Brazil,BRA,Pump price for gasoline (US$ per liter),0.800,0.920,0.550,0.840,1.260,1.260,1.580,1.390,1.270,1.020,1.205,1.238
Barbados,BRB,Pump price for gasoline (US$ per liter),0.720,0.950,0.660,0.820,1.110,1.000,1.250,,1.810,,0.000,0.905
Brunei Darussalam,BRN,Pump price for gasoline (US$ per liter),0.340,0.310,0.300,0.320,0.340,0.380,0.390,0.430,0.410,0.370,0.400,0.405
Bhutan,BTN,Pump price for gasoline (US$ per liter),0.590,0.580,,0.780,,0.910,1.080,1.190,1.040,0.980,1.085,1.063
Botswana,BWA,Pump price for gasoline (US$ per liter),0.310,0.420,0.410,0.660,0.780,0.880,0.930,1.230,1.060,0.710,0.970,1.015
Central African Republic,CAF,Pump price for gasoline (US$ per liter),0.810,,1.000,1.290,1.370,1.440,1.710,1.710,1.690,1.410,1.560,1.625
