S.No,S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy,iso_code
159,160,Aruba,"8,000",0,1169.4,6.08,1.61,339.67,"30,253","4,976",4,ABW
108,109,Afghanistan,"35,000",0,15.2,3.62,0.96,201.98,509,141,9,AFG
68,69,Angola,"133,000",0,70.7,1.39,0.37,77.83,"1,896","1,364",19,AGO
123,124,Albania,"27,000",0,143.4,8,2.11,447.11,"5,215",652,5,ALB
24,25,United Arab Emirates,"896,000",1,1467.3,4.15,1.1,232.02,"36,285","8,743",6,ARE
27,28,Argentina,"709,000",1,249.8,3.96,1.05,221.23,"8,579","2,166",9,ARG
148,149,Armenia,"6,000",0,31.3,4.77,1.26,266.49,"4,268",895,29,ARM
19,20,Australia,"1,114,645",1,704.3,5.22,1.38,291.45,"51,693","9,903",14,AUS
42,43,Austria,"262,352",0,459.8,8.07,2.13,450.92,"48,587","6,021",13,AUT
71,72,Azerbaijan,"96,000",0,151.2,2.23,0.59,124.36,"4,214","1,890",12,AZE
164,165,Burundi,"1,499",0,2.2,5.09,1.34,284.26,274,54,24,BDI
28,29,Belgium,"631,522",1,852.6,8.36,2.21,466.99,"45,159","5,402",6,BEL
111,112,Benin,"36,000",0,50.8,3.63,0.96,202.83,"1,291",356,7,BEN
132,133,Burkina Faso,"23,000",0,18.9,4.33,1.14,241.74,831,192,10,BFA
67,68,Bangladesh,"113,000",0,11,3.59,0.95,200.5,"1,969",548,50,BGD
78,79,Bulgaria,"97,000",0,207.9,6.53,1.72,364.63,"10,079","1,543",7,BGR
89,90,Bahrain,"62,000",0,666.6,2.01,0.53,112.31,"20,410","10,154",15,BHR
143,144,Bahamas,"20,036",0,812.7,6.48,1.71,361.88,"25,194","3,888",5,BHS
113,114,Bosnia and Herzegovina,"35,000",0,158.4,6.55,1.73,366.11,"6,032",921,6,BIH
72,73,Belarus,"137,000",0,222.3,2.67,0.71,149.11,"6,411","2,401",11,BLR
176,177,Belize,"4,001",0,166.5,6.68,1.76,373.09,"4,436",664,4,BLZ
82,83,Bolivia,"90,000",0,125.1,2.06,0.54,115.06,"3,143","1,526",12,BOL
6,7,Brazil,"2,984,000",3,221.9,5.36,1.42,299.27,"6,797","1,268",6,BRA
161,162,Barbados,"11,001",0,590.1,8.27,2.18,461.92,"15,374","1,859",3,BRB
167,168,Bhutan,"3,001",0,62.4,4.46,1.18,249.15,"3,122",700,11,BTN
131,132,Botswana,"21,000",0,149,4.29,1.13,239.42,"6,711","1,564",10,BWA
174,175,Central African Republic,"2,800",0,9.5,9.06,2.39,506.12,477,53,6,CAF
8,9,Canada,"2,486,301",3,1047.6,6.76,1.79,377.74,"43,258","6,399",6,CAN
50,51,Switzerland,"228,194",0,417.5,8.27,2.19,462.34,"87,097","10,532",25,CHE
39,40,Chile,"351,989",0,296.3,5.26,1.39,293.77,"13,232","2,516",8,CHL
1,2,China,"12,791,553",13,138.7,5.42,1.43,302.87,"10,435","1,925",14,CHN
99,100,Côte d'Ivoire,"51,000",0,32.8,4.47,1.18,249.57,"2,325",520,16,CIV
107,108,Cameroon,"40,000",0,25.6,3.93,1.04,219.33,"1,499",381,15,CMR
135,136,Congo,"17,000",0,52.3,3.94,1.04,219.96,"1,973",501,10,COG
35,36,Colombia,"357,000",0,113.6,2.28,0.6,127.11,"5,333","2,339",21,COL
168,169,Comoros,"1,300",0,25,5.15,1.36,287.64,"1,403",272,11,COM
91,92,Costa Rica,"55,000",0,172.1,5.87,1.55,327.83,"12,141","2,068",12,CRI
60,61,Cuba,"153,000",0,206.9,4.77,1.26,266.49,"9,478","1,987",10,CUB
166,167,Cayman Islands,"4,401",0,1078.3,6.27,1.66,350.24,"85,083","13,570",13,CYM
104,105,Cyprus,"52,000",0,681.2,7.04,1.86,393.18,"26,624","3,782",6,CYP
9,10,Germany,"2,383,393",3,444.5,7.65,2.02,427.44,"46,208","6,040",14,DEU
175,176,Dominica,"1,301",0,279.7,4.78,1.26,267.34,"7,268","1,521",5,DMA
53,54,Denmark,"158,194",0,424.6,10.04,2.65,561.11,"61,063","6,082",14,DNK
79,80,Dominican Republic,"133,000",0,196.1,5.33,1.41,298,"7,268","1,364",7,DOM
36,37,Algeria,"429,000",0,162.2,1.18,0.31,66.2,"3,310","2,805",17,DZA
36,37,Mauritania,"429,000",0,162.2,1.18,0.31,66.2,"3,310","2,805",17,MRT
46,47,Ecuador,"259,000",0,240.8,4.43,1.17,247.46,"5,600","1,264",5,ECU
23,24,Egypt,"877,000",1,142.3,1.97,0.52,110.19,"3,548","1,801",13,EGY
23,24,Niger,"877,000",1,142.3,1.97,0.52,110.19,"3,548","1,801",13,NER
17,18,Spain,"1,290,063",1,424.1,8.35,2.21,466.57,"27,063","3,241",8,ESP
118,119,Estonia,"28,855",0,336,8.35,2.21,466.57,"23,027","2,758",8,EST
84,85,Ethiopia,"74,000",0,10.9,2.7,0.71,150.59,936,347,32,ETH
63,64,Finland,"210,030",0,585.7,10.01,2.64,559.21,"48,773","4,872",8,FIN
146,147,Fiji,"16,000",0,281.2,5.27,1.39,294.41,"4,882",926,3,FJI
12,13,France,"1,705,568",2,404.3,8.27,2.19,462.13,"39,030","4,719",12,FRA
129,130,Gabon,"21,000",0,160.3,3.65,0.97,204.1,"7,006","1,919",12,GAB
14,15,United Kingdom,"1,583,896",2,366.2,8.38,2.22,468.47,"41,125","4,908",13,GBR
120,121,Georgia,"33,000",0,126,5.04,1.33,281.51,"4,279",849,7,GEO
83,84,Ghana,"88,000",0,47.4,4.87,1.29,271.99,"2,329",478,10,GHA
137,138,Guinea,"19,001",0,24.8,5.13,1.36,286.79,"1,194",233,9,GIN
173,174,Gambia,"3,800",0,27.1,5.04,1.33,281.51,787,156,6,GMB
47,48,Greece,"296,101",0,427.6,9.49,2.51,530.02,"17,623","1,857",4,GRC
172,173,Grenada,"2,000",0,278.1,4.62,1.22,258.24,"9,262","2,005",7,GRD
73,74,Guatemala,"93,000",0,86,5.14,1.36,287.01,"4,603",896,10,GTM
155,156,Guyana,"14,000",0,278.2,4.6,1.22,257.18,"6,956","1,512",5,GUY
40,41,Hong Kong,"408,491",0,864.5,11.35,3,634.29,"46,324","4,081",5,HKG
96,97,Honduras,"58,000",0,95.9,5.49,1.45,306.46,"2,406",438,5,HND
88,89,Croatia,"69,000",0,251.3,7.24,1.91,404.39,"14,134","1,952",8,HRV
128,129,Haiti,"23,000",0,32.5,2.18,0.58,122.04,"1,177",540,17,HTI
62,63,Hungary,"155,544",0,244.5,7.6,2.01,424.48,"15,981","2,103",9,HUN
13,14,Indonesia,"1,623,000",2,95.1,4.48,1.18,250.42,"3,870",864,9,IDN
2,3,India,"4,443,000",5,51.4,5.05,1.33,281.93,"1,901",376,7,IND
52,53,Ireland,"152,404",0,497.5,7.84,2.07,437.81,"85,268","10,876",22,IRL
11,12,Iran,"1,803,999",2,347.6,0.2,0.05,11.21,"2,423","12,115",35,IRN
25,26,Iraq,"857,000",1,358.9,1.95,0.51,108.71,"4,158","2,132",6,IRQ
141,142,Iceland,"19,090",0,880.9,9.83,2.6,549.48,"59,270","6,030",7,ISL
54,55,Israel,"236,249",0,446.6,7.94,2.1,443.73,"44,169","5,563",12,ISR
16,17,Italy,"1,236,628",1,312.5,8.01,2.12,447.53,"31,714","3,959",13,ITA
97,98,Jamaica,"54,000",0,284.8,6.36,1.68,355.32,"4,665",733,3,JAM
80,81,Jordan,"114,000",0,182.9,6.3,1.66,351.94,"4,283",680,4,JOR
3,4,Japan,"4,012,877",4,481.5,4.69,1.24,262.05,"40,193","8,570",18,JPN
41,42,Kazakhstan,"325,000",0,279.4,1.8,0.48,100.46,"9,122","5,068",18,KAZ
